iter	RMSE
0	13.48081903
1	13.44117851
2	13.4023073
3	13.36419678
4	13.32637833
5	13.28924386
6	13.25336705
7	13.21736703
8	13.18224623
9	13.14754923
10	13.1139638
11	13.07864441
12	13.0443604
13	13.00935615
14	12.97552287
15	12.94221802
16	12.90886403
17	12.87616292
18	12.84429606
19	12.81264825
20	12.78162793
21	12.75205778
22	12.72212023
23	12.69270676
24	12.66384894
25	12.63552748
26	12.60844917
27	12.58088487
28	12.55379984
29	12.5276661
30	12.50187781
31	12.47667044
32	12.45180619
33	12.42731625
34	12.40306591
35	12.37916013
36	12.3561309
37	12.33298786
38	12.3108557
39	12.28905071
40	12.26742847
41	12.24618763
42	12.22503932
43	12.20491058
44	12.18450894
45	12.16452308
46	12.14470684
47	12.12558052
48	12.10689413
49	12.08855423
50	12.07039981
51	12.05258451
52	12.0352771
53	12.01819986
54	12.0012583
55	11.98457578
56	11.96788233
57	11.95173517
58	11.93594517
59	11.92050012
60	11.90537587
61	11.89034604
62	11.87500322
63	11.86020477
64	11.84604767
65	11.8318093
66	11.81807479
67	11.80463647
68	11.79117917
69	11.77812941
70	11.76519807
71	11.75266542
72	11.73990734
73	11.7280032
74	11.71637185
75	11.70452852
76	11.69290256
77	11.68183571
78	11.67068495
79	11.65990325
80	11.64896073
81	11.63858994
82	11.62843947
83	11.61788454
84	11.60795382
85	11.59779894
86	11.58768427
87	11.57826324
88	11.56894364
89	11.55996413
90	11.5504137
91	11.54105074
92	11.53194877
93	11.52340668
94	11.51503669
95	11.50657808
96	11.49829965
97	11.49031725
98	11.48219444
99	11.47358215
100	11.46531133
101	11.4574777
102	11.44968169
103	11.44244722
104	11.43499514
105	11.42772995
106	11.4207661
107	11.41324343
108	11.40623217
109	11.39929351
110	11.39274692
111	11.38611415
112	11.37937925
113	11.37319529
114	11.36698165
115	11.36068451
116	11.35454244
117	11.3484831
118	11.3424808
119	11.33688628
120	11.33144608
121	11.32550638
122	11.31994676
123	11.3142576
124	11.30879571
125	11.30348351
126	11.29848531
127	11.29315144
128	11.28814504
129	11.28296353
130	11.27770948
131	11.27236089
132	11.26759301
133	11.26252155
134	11.25743964
135	11.25275486
136	11.24829186
137	11.24375331
138	11.23906863
139	11.23439368
140	11.23009497
141	11.22579977
142	11.22139925
143	11.217394
144	11.21309519
145	11.20889228
146	11.20506272
147	11.20097565
148	11.19730193
149	11.19356862
150	11.18973901
151	11.18592268
152	11.182238
153	11.17873047
154	11.17506277
155	11.17169172
156	11.16836823
157	11.16479059
158	11.1613638
159	11.15806689
160	11.15480341
161	11.15170416
162	11.148615
163	11.14548407
164	11.1424938
165	11.13953299
166	11.13666838
167	11.13369657
168	11.13074042
169	11.12786836
170	11.12516153
171	11.12232604
172	11.11952364
173	11.11668713
174	11.11400554
175	11.11122196
176	11.10858318
177	11.10599447
178	11.10345536
179	11.10103842
180	11.09847721
181	11.09611239
182	11.09377462
183	11.09138663
184	11.08905694
185	11.08680542
186	11.0843407
187	11.08209207
188	11.07987086
189	11.07770766
