iter	Passed	Remaining
0	361	180393
1	554	138016
2	757	125472
3	867	107628
4	1031	102070
5	1119	92182
6	1226	86387
7	1331	81894
8	1505	82153
9	1593	78060
10	1761	78322
11	1845	75042
12	1948	72989
13	2098	72850
14	2185	70664
15	2275	68830
16	2357	66979
17	2463	65969
18	2548	64507
19	2685	64443
20	2770	63199
21	2952	64155
22	3043	63113
23	3231	64100
24	3363	63905
25	3451	62917
26	3534	61912
27	3720	62716
28	3835	62291
29	3922	61458
30	4116	62275
31	4242	62047
32	4419	62540
33	4562	62536
34	4711	62591
35	4881	62915
36	5080	63569
37	5251	63843
38	5468	64644
39	5639	64851
40	5771	64611
41	5905	64398
42	6039	64191
43	6136	63600
44	6229	62991
45	6369	62867
46	6514	62789
47	6774	63797
48	6998	64418
49	7184	64659
50	7373	64916
51	7469	64353
52	7575	63888
53	7696	63569
54	7883	63783
55	8000	63430
56	8175	63542
57	8302	63274
58	8477	63368
59	8566	62818
60	8746	62949
61	8945	63196
62	9121	63274
63	9217	62797
64	9357	62621
65	9457	62186
66	9619	62170
67	9800	62260
68	9995	62435
69	10126	62203
70	10300	62236
71	10426	61978
72	10594	61971
73	10791	62124
74	10965	62137
75	11095	61900
76	11212	61596
77	11351	61416
78	11529	61442
79	11662	61226
80	11845	61272
81	12027	61311
82	12198	61286
83	12362	61225
84	12559	61318
85	12743	61347
86	12911	61291
87	13074	61210
88	13249	61187
89	13339	60769
90	13530	60811
91	13636	60476
92	13769	60258
93	13897	60027
94	14004	59703
95	14161	59597
96	14375	59726
97	14550	59684
98	14719	59620
99	14896	59587
100	15070	59535
101	15222	59398
102	15370	59241
103	15480	58946
104	15642	58843
105	15787	58680
106	15914	58451
107	16066	58313
108	16226	58208
109	16317	57851
110	16472	57727
111	16628	57606
112	16833	57650
113	17023	57639
114	17153	57426
115	17316	57323
116	17494	57268
117	17686	57255
118	17859	57178
119	18010	57033
120	18172	56920
121	18308	56725
122	18491	56677
123	18620	56462
124	18766	56298
125	18912	56138
126	19089	56064
127	19263	55985
128	19463	55976
129	19663	55965
130	19855	55928
131	20002	55765
132	20172	55663
133	20346	55572
134	20516	55470
135	20719	55454
136	20868	55294
137	21017	55131
138	21182	55012
139	21383	54986
140	21611	55023
141	21819	55009
142	22026	54989
143	22177	54828
144	22391	54820
145	22660	54943
146	22865	54909
147	23139	55034
148	23305	54901
149	23446	54707
150	23657	54679
151	23799	54489
152	23943	54302
153	24073	54086
154	24227	53925
155	24442	53897
156	24608	53762
157	24796	53674
158	24988	53591
159	25178	53503
160	25332	53340
161	25502	53208
162	25684	53102
163	25799	52857
164	25966	52719
165	26177	52670
166	26367	52576
167	26522	52414
168	26734	52361
169	26927	52270
170	27100	52140
171	27278	52019
172	27456	51897
173	27661	51824
174	27822	51670
175	27957	51466
176	28123	51322
177	28346	51278
178	28527	51157
179	28728	51073
180	28860	50864
181	29041	50743
182	29188	50562
183	29379	50456
184	29563	50337
185	29727	50185
186	29922	50084
187	30053	49875
188	30212	49714
189	30434	49655
190	30629	49551
191	30774	49367
192	30926	49193
193	31113	49075
194	31271	48911
195	31433	48754
196	31626	48644
197	31810	48518
198	31991	48389
199	32179	48268
200	32343	48112
201	32524	47981
202	32713	47862
203	32896	47731
204	33047	47556
205	33240	47440
206	33386	47256
207	33545	47092
208	33690	46909
209	33886	46796
210	34097	46701
211	34308	46607
212	34495	46479
213	34686	46356
214	34839	46182
215	35019	46043
216	35198	45904
217	35348	45725
218	35548	45612
219	35738	45485
220	35931	45361
221	36101	45207
222	36257	45036
223	36453	44915
224	36601	44735
225	36785	44598
226	36975	44468
227	37176	44350
228	37373	44227
229	37539	44068
230	37735	43942
231	37913	43797
232	38259	43842
233	38489	43753
234	38660	43595
235	38854	43464
236	39061	43346
237	39274	43234
238	39414	43042
239	39582	42881
240	39769	42739
241	39954	42596
242	40096	42406
243	40275	42256
244	40434	42084
245	40585	41905
246	40761	41751
247	40935	41595
248	41101	41431
249	41259	41259
250	41442	41112
251	41623	40962
252	41817	40825
253	42012	40689
254	42173	40519
255	42353	40368
256	42520	40204
257	42701	40053
258	42885	39904
259	43071	39758
260	43243	39598
261	43431	39452
262	43616	39304
263	43798	39152
264	43987	39007
265	44172	38858
266	44377	38726
267	44528	38547
268	44737	38418
269	44929	38273
270	45111	38119
271	45279	37955
272	45435	37779
273	45591	37604
274	45750	37431
275	45931	37278
276	46097	37111
277	46296	36970
278	46478	36816
279	46643	36648
280	46817	36487
281	47011	36342
282	47173	36171
283	47331	35998
284	47510	35841
285	47686	35681
286	47874	35530
287	48061	35378
288	48222	35207
289	48419	35062
290	48609	34911
291	48787	34752
292	48969	34596
293	49157	34443
294	49350	34294
295	49548	34148
296	49743	33999
297	49921	33839
298	50094	33675
299	50298	33532
300	50486	33377
301	50675	33224
302	50827	33046
303	51007	32886
304	51142	32697
305	51332	32544
306	51483	32365
307	51644	32194
308	51830	32037
309	52015	31880
310	52172	31706
311	52375	31559
312	52564	31404
313	52753	31249
314	52919	31079
315	53097	30917
316	53295	30766
317	53494	30616
318	53659	30446
319	53852	30291
320	54163	30203
321	54423	30084
322	54639	29941
323	54829	29784
324	54999	29614
325	55185	29454
326	55375	29296
327	55558	29134
328	55746	28974
329	55927	28811
330	56115	28651
331	56283	28480
332	56476	28323
333	56677	28169
334	56863	28007
335	57044	27843
336	57223	27677
337	57382	27502
338	57541	27328
339	57735	27169
340	57949	27020
341	58159	26869
342	58342	26705
343	58528	26541
344	58720	26381
345	58921	26225
346	59104	26060
347	59264	25885
348	59476	25733
349	59664	25570
350	59841	25402
351	60007	25230
352	60188	25064
353	60373	24899
354	60568	24739
355	60748	24572
356	60913	24399
357	61098	24234
358	61284	24069
359	61483	23910
360	61669	23745
361	61889	23593
362	62072	23426
363	62250	23258
364	62466	23104
365	62644	22935
366	62838	22772
367	62992	22595
368	63192	22434
369	63375	22266
370	63554	22098
371	63754	21936
372	63934	21768
373	64128	21604
374	64306	21435
375	64484	21266
376	64653	21093
377	64825	20922
378	65025	20760
379	65215	20594
380	65402	20427
381	65605	20265
382	65801	20101
383	65950	19922
